booking_id,booking_date,departure_date,advance_booking_days,passenger_name,email,phone,country,city,origin,destination,distance_miles,cabin_class,num_passengers,fare_per_passenger,total_fare,payment_method,payment_status,payment_attempts,booking_channel,bookings_last_24h,ip_address,device_id,device_reuse_count,is_cancelled,cancellation_time_hours,is_frequent_flyer,ff_miles,ff_tier,account_age_days,calculated_risk_score,is_fraud,fraud_flags,rule_based_score,num_flags,rule_based_prediction,ml_anomaly_prediction,ml_anomaly_score,ml_risk_label,final_fraud_score,final_risk_category
BK010011,2025-01-19,2025-01-31 00:00:00,12,Passenger11 Legit708,passenger11.legit708958@outlook.com,+210-785-6147,Singapore,Singapore,NYC,LAX,2451,Premium Economy,3,449.45,1348.34,PayPal,Success,1,Travel Agent,2,103.37.109.130,bd0d305608c6c124,1,False,,False,0,,680,0,False,CLEAN,0,0,LOW_RISK,1,-0.42952678330210164,NORMAL,6.56,LOW
BK010012,2025-01-09,2025-03-02 00:00:00,52,Passenger12 Legit261,passenger12.legit261827@icloud.com,+9-783-5905,India,Bangalore,Houston,Phoenix,1009,Economy,2,118.58,237.16,Credit Card,Success,1,Airport Counter,0,125.104.135.130,461d6dcf18624bea,2,False,,False,0,,369,0,False,CLEAN,0,0,LOW_RISK,1,-0.41102418497732784,NORMAL,4.11,LOW
BK010013,2024-11-06,2024-11-13 00:00:00,7,Passenger13 Legit949,passenger13.legit949653@outlook.com,+166-859-8239,UAE,Dubai,Dallas,Denver,641,First Class,1,359.05,359.05,Debit Card,Success,1,Travel Agent,0,5.157.186.231,502da85ae4434b7d,1,False,,True,70412,Gold,1545,0,False,CLEAN,0,0,LOW_RISK,-1,-0.5315211878120405,ANOMALY,20.01,LOW
BK010014,2024-12-23,2025-01-02 00:00:00,10,Passenger14 Fraud898,passenger14.fraud898831@yahoo.com,+903-522-1406,Australia,Sydney,Orlando,Vegas,2028,Premium Economy,2,373.62,747.25,Debit Card,Success,1,Travel Agent,12,106.12.98.103,896670bfcf82c1d9,7,False,,False,0,,12,40,True,HIGH_VELOCITY,25,1,LOW_RISK,-1,-0.5717279384921266,ANOMALY,40.32,MEDIUM
BK010015,2024-12-13,2024-12-21 00:00:00,8,Passenger15 Legit963,passenger15.legit963183@icloud.com,+986-371-1626,UK,Manchester,Orlando,Vegas,2028,Economy,4,244.26,977.05,PayPal,Success,1,Airport Counter,0,90.22.223.1,70202ce573042ff5,3,False,,False,0,,1689,0,False,CLEAN,0,0,LOW_RISK,1,-0.49523229193362667,NORMAL,15.22,LOW
BK010016,2024-11-09,2024-12-28 00:00:00,49,Passenger16 Legit472,passenger16.legit472680@gmail.com,+738-407-9308,UAE,Abu Dhabi,Boston,SFO,2704,Business,4,971.35,3885.41,PayPal,Success,1,Travel Agent,2,5.154.207.141,040f5132dbf222f5,1,False,,True,89475,Gold,1132,0,False,CLEAN,0,0,LOW_RISK,-1,-0.5400212522123978,ANOMALY,21.13,LOW
BK010017,2025-01-05,2025-02-11 00:00:00,37,Passenger17 Legit791,passenger17.legit79187@outlook.com,+528-779-6491,Canada,Montreal,Chicago,Miami,1188,Economy,2,157.08,314.16,Debit Card,Success,1,Website,0,147.37.233.107,c087c9c74332355f,3,False,,False,0,,966,0,False,CLEAN,0,0,LOW_RISK,1,-0.39388847824944845,NORMAL,1.85,LOW
BK010018,2025-01-23,2025-03-15 00:00:00,51,Passenger18 Legit349,passenger18.legit349798@hotmail.com,+225-280-9486,USA,New York,LAX,Tokyo,5478,First Class,1,3507.74,3507.74,Credit Card,Success,1,Airport Counter,2,50.226.218.213,8856cef2a1e0c54e,3,False,,True,129433,Gold,1101,0,False,CLEAN,0,0,LOW_RISK,-1,-0.570610561033807,ANOMALY,25.17,LOW
BK010019,2025-01-21,2025-02-14 00:00:00,24,Passenger19 Legit353,passenger19.legit353642@yahoo.com,+282-550-2269,Germany,Munich,Sydney,Melbourne,442,Business,2,156.18,312.36,PayPal,Success,1,Mobile App,0,46.78.109.17,2cbf7c0d0bc22b6f,2,False,,False,0,,307,0,False,CLEAN,0,0,LOW_RISK,1,-0.40124202993145,NORMAL,2.82,LOW
BK010020,2025-01-14,2025-03-06 00:00:00,51,Passenger20 Legit530,passenger20.legit530390@hotmail.com,+7-460-5892,USA,Miami,Boston,SFO,2704,First Class,4,1722.12,6888.49,Points,Success,1,Call Center,1,50.14.199.87,41900600464ca1e7,3,False,,False,0,,1137,0,False,CLEAN,0,0,LOW_RISK,-1,-0.5348975315006733,ANOMALY,20.46,LOW
BK010021,2024-11-04,2024-12-06 00:00:00,32,Passenger21 Legit737,passenger21.legit737679@gmail.com,+86-758-8022,France,Marseille,Orlando,Vegas,2028,Premium Economy,4,348.44,1393.75,PayPal,Success,1,Call Center,1,51.142.215.65,8557add46e6e177a,1,False,,False,0,,286,0,False,CLEAN,0,0,LOW_RISK,1,-0.4495945322188731,NORMAL,9.2,LOW
BK010022,2025-01-23,2025-02-03 00:00:00,11,Passenger22 Legit458,passenger22.legit458973@yahoo.com,+205-959-1333,USA,New York,Chicago,Miami,1188,Premium Economy,2,200.55,401.11,Credit Card,Success,1,Call Center,0,3.83.159.28,c3c39c8383103373,1,False,,False,0,,948,0,False,CLEAN,0,0,LOW_RISK,1,-0.4138194602124762,NORMAL,4.48,LOW
BK010023,2024-11-10,2024-12-24 00:00:00,44,Passenger23 Legit832,passenger23.legit832714@outlook.com,+871-800-2983,Australia,Sydney,Chicago,Miami,1188,Economy,3,151.09,453.27,PayPal,Success,1,Travel Agent,1,1.221.185.163,96f7d5f2a334cea1,2,False,,False,0,,1682,0,False,CLEAN,0,0,LOW_RISK,1,-0.4235828630587523,NORMAL,5.77,LOW
BK010024,2025-01-18,2025-03-17 00:00:00,58,Passenger24 Legit766,passenger24.legit766477@hotmail.com,+846-848-5397,Germany,Munich,Dallas,Denver,641,Business,2,265.19,530.39,Credit Card,Success,1,Airport Counter,2,46.172.14.127,7ced22a427a38148,2,False,,True,72725,Gold,877,0,False,CLEAN,0,0,LOW_RISK,1,-0.4749450158745412,NORMAL,12.55,LOW
BK010025,2024-12-06,2025-01-17 00:00:00,42,Passenger25 Legit710,passenger25.legit710971@yahoo.com,+88-347-7658,USA,Miami,Dubai,Mumbai,1200,First Class,2,797.17,1594.34,Bank Transfer,Success,1,Mobile App,1,3.156.188.122,db600b0d5857e7ef,3,False,,False,0,,1307,0,False,CLEAN,0,0,LOW_RISK,1,-0.4100897626103152,NORMAL,3.99,LOW
BK010026,2024-12-05,2024-12-31 00:00:00,26,Passenger26 Legit819,passenger26.legit819124@yahoo.com,+324-222-9779,India,Mumbai,Houston,Phoenix,1009,Premium Economy,2,175.25,350.5,Bank Transfer,Success,1,Mobile App,1,106.184.91.78,6b85e0dcbc3df2f6,3,False,,True,19293,Bronze,1313,0,False,CLEAN,0,0,LOW_RISK,1,-0.4151605106097875,NORMAL,4.66,LOW
BK010027,2025-01-02,2025-01-15 00:00:00,13,Passenger27 Legit229,passenger27.legit229292@hotmail.com,+491-551-6582,USA,Miami,London,Paris,214,Premium Economy,1,37.59,37.59,Bank Transfer,Success,1,Website,2,3.77.76.208,3668aaf171d6480e,2,False,,True,114097,Gold,1421,0,False,CLEAN,0,0,LOW_RISK,1,-0.512577743701109,NORMAL,17.51,LOW
BK010028,2025-01-06,2025-02-06 00:00:00,31,Passenger28 Legit733,passenger28.legit733305@icloud.com,+440-412-1986,Japan,Osaka,Chicago,Miami,1188,Economy,2,155.06,310.11,PayPal,Success,1,Mobile App,2,126.80.1.105,5f9d9c73978bf677,3,False,,True,65680,Gold,770,0,False,CLEAN,0,0,LOW_RISK,1,-0.4463443502010912,NORMAL,8.77,LOW
BK010029,2024-12-29,2025-01-09 00:00:00,11,Passenger29 Legit819,passenger29.legit819807@icloud.com,+678-923-4241,Australia,Melbourne,Sydney,Melbourne,442,First Class,1,282.01,282.01,Debit Card,Success,1,Website,0,2.147.224.32,727063c5cc8c6cf5,3,False,,False,0,,737,0,False,CLEAN,0,0,LOW_RISK,1,-0.41384663509804115,NORMAL,4.49,LOW
BK010030,2024-11-11,2024-12-26 00:00:00,45,Passenger30 Legit605,passenger30.legit605753@outlook.com,+619-356-1423,USA,Houston,Houston,Phoenix,1009,Economy,2,143.91,287.82,Points,Success,1,Mobile App,1,50.142.92.150,f1079c077b912e79,3,False,,False,0,,1142,0,False,CLEAN,0,0,LOW_RISK,1,-0.3935918401084217,NORMAL,1.82,LOW
BK010031,2025-01-25,2025-02-07 00:00:00,13,Passenger31 Legit441,passenger31.legit441422@hotmail.com,+296-778-7561,Canada,Vancouver,Atlanta,Seattle,2182,Economy,4,242.57,970.29,PayPal,Success,1,Website,2,147.211.27.49,326853f58c2ad2c2,2,False,,False,0,,1085,0,False,CLEAN,0,0,LOW_RISK,1,-0.4442504821024507,NORMAL,8.5,LOW
BK010032,2025-01-10,2025-01-25 00:00:00,15,Passenger32 Legit308,passenger32.legit308902@hotmail.com,+125-129-4920,India,Delhi,Dallas,Denver,641,Premium Economy,3,122.91,368.73,Points,Success,1,Travel Agent,0,106.255.149.131,74555233460f77f2,2,False,,False,0,,1147,0,False,CLEAN,0,0,LOW_RISK,1,-0.4187889910615068,NORMAL,5.14,LOW
BK010033,2024-12-20,2025-01-08 00:00:00,19,Passenger33 Legit664,passenger33.legit664765@yahoo.com,+885-171-5526,France,Marseille,LAX,Tokyo,5478,First Class,3,3879.33,11637.98,Points,Success,1,Airport Counter,2,51.76.228.138,0f0f4be89c375e52,2,False,,False,0,,952,0,False,CLEAN,0,0,LOW_RISK,-1,-0.5704120808795109,ANOMALY,25.14,LOW
BK010034,2024-11-25,2025-01-15 00:00:00,51,Passenger34 Legit429,passenger34.legit429393@yahoo.com,+877-894-7730,Australia,Brisbane,Sydney,Melbourne,442,Economy,3,59.59,178.76,Bank Transfer,Success,1,Mobile App,2,2.51.225.26,044462befb81df8e,2,True,171.0,False,0,,1520,0,False,CLEAN,0,0,LOW_RISK,1,-0.4291971717490249,NORMAL,6.51,LOW
BK010035,2024-12-04,2025-01-01 00:00:00,28,Passenger35 Legit176,passenger35.legit176408@gmail.com,+873-436-9742,France,Marseille,Houston,Phoenix,1009,First Class,3,658.7,1976.1,Bank Transfer,Success,1,Mobile App,2,51.116.46.112,ac45a8f3633652c2,3,False,,True,48611,Silver,1601,0,False,CLEAN,0,0,LOW_RISK,1,-0.4962252949007207,NORMAL,15.35,LOW
BK010036,2024-12-12,2025-02-07 00:00:00,57,Passenger36 Legit129,passenger36.legit129368@outlook.com,+442-249-5000,USA,Chicago,NYC,LAX,2451,First Class,2,1398.53,2797.07,Credit Card,Success,1,Airport Counter,0,3.236.130.118,e41f8a1a25d01520,3,True,500.0,False,0,,1567,0,False,CLEAN,0,0,LOW_RISK,1,-0.4734961163999704,NORMAL,12.36,LOW
BK010037,2024-12-15,2025-01-28 00:00:00,44,Passenger37 Legit175,passenger37.legit175986@hotmail.com,+707-356-8484,India,Bangalore,Houston,Phoenix,1009,Business,2,435.82,871.64,Bank Transfer,Success,1,Airport Counter,1,125.11.202.71,ee29b7d7cbd0e3cd,3,False,,False,0,,280,0,False,CLEAN,0,0,LOW_RISK,1,-0.4063024193549321,NORMAL,3.49,LOW
BK010038,2024-12-07,2025-02-01 00:00:00,56,Passenger38 Legit863,passenger38.legit863822@outlook.com,+225-751-4115,Australia,Brisbane,Houston,Phoenix,1009,Business,2,395.38,790.75,Credit Card,Success,1,Mobile App,0,2.167.212.45,116b4c4e9d362964,1,False,,False,0,,929,0,False,CLEAN,0,0,LOW_RISK,1,-0.4146347885696704,NORMAL,4.59,LOW
BK010039,2024-11-22,2024-12-15 00:00:00,23,Passenger39 Legit379,passenger39.legit379765@outlook.com,+824-217-8673,Japan,Osaka,Sydney,Melbourne,442,Economy,2,59.74,119.47,Debit Card,Success,1,Travel Agent,0,126.63.232.95,b6e465668bd4f124,3,False,,False,0,,1487,0,False,CLEAN,0,0,LOW_RISK,1,-0.41991394329831244,NORMAL,5.29,LOW
BK010040,2024-11-30,2025-01-06 00:00:00,37,Passenger40 Legit210,passenger40.legit210906@icloud.com,+336-724-4626,USA,Miami,London,Paris,214,Economy,4,30.12,120.47,PayPal,Success,1,Website,0,50.252.59.25,cc91dab8858b1663,3,False,,False,0,,1553,0,False,CLEAN,0,0,LOW_RISK,1,-0.4719421503244429,NORMAL,12.15,LOW
BK010041,2024-12-24,2025-02-06 00:00:00,44,Passenger41 Legit813,passenger41.legit813671@gmail.com,+854-601-7686,Canada,Vancouver,Orlando,Vegas,2028,Business,1,808.26,808.26,Debit Card,Success,1,Website,2,147.183.31.102,8b558583a3cba0da,1,False,,False,0,,1111,0,False,CLEAN,0,0,LOW_RISK,1,-0.41896744517349754,NORMAL,5.16,LOW
BK010042,2025-01-21,2025-01-23 00:00:00,2,Passenger42 Fraud317,3063test27@tempmail.com,+850-883-4394,USA,Chicago,London,Paris,214,Premium Economy,1,36.37,36.37,Points,Success,1,Mobile App,5,103.165.8.45,83a309625a71662b,18,True,48.0,True,7344,Bronze,24,70,True,"SUSPICIOUS_EMAIL,DEVICE_ABUSE",55,2,MEDIUM_RISK,-1,-0.6081993809431321,ANOMALY,63.13,HIGH
BK010043,2024-12-28,2025-02-05 00:00:00,39,Passenger43 Legit707,passenger43.legit70745@icloud.com,+309-569-1510,Australia,Brisbane,NYC,LHR,3451,Economy,4,477.97,1911.89,Bank Transfer,Success,1,Website,0,2.75.33.33,feca9b3c202e82ad,3,False,,False,0,,845,0,False,CLEAN,0,0,LOW_RISK,1,-0.45684780025092747,NORMAL,10.16,LOW
BK010044,2024-12-08,2025-01-13 00:00:00,36,Passenger44 Legit711,passenger44.legit711441@gmail.com,+813-818-2874,Germany,Frankfurt,Orlando,Vegas,2028,Premium Economy,4,377.99,1511.95,Debit Card,Success,1,Travel Agent,2,46.160.218.81,199e4b1f8310974c,2,False,,True,129326,Gold,317,0,False,CLEAN,0,0,LOW_RISK,1,-0.519518570100169,NORMAL,18.43,LOW
BK010045,2024-12-26,2024-12-26 13:00:00,0,Passenger45 Fraud187,6400test16@10minutemail.net,+363-994-7929,Canada,Montreal,NYC,LHR,3451,Economy,2,416.4,832.79,Points,Success,3,Airport Counter,1,147.13.136.8,39e6787fdb87829a,14,False,,True,2347,Bronze,18,50,True,"SUSPICIOUS_EMAIL,DEVICE_ABUSE",55,2,MEDIUM_RISK,-1,-0.5620419533662346,ANOMALY,57.04,MEDIUM
BK010046,2025-01-21,2025-01-29 00:00:00,8,Passenger46 Legit171,passenger46.legit171544@yahoo.com,+386-529-8432,UK,Birmingham,LAX,Tokyo,5478,Business,2,1993.8,3987.61,PayPal,Success,1,Mobile App,2,80.41.139.114,f8491b0b4d77182d,2,False,,False,0,,739,0,False,CLEAN,0,0,LOW_RISK,1,-0.4526938736431384,NORMAL,9.61,LOW
BK010047,2024-12-15,2025-01-18 00:00:00,34,Passenger47 Legit624,passenger47.legit624695@icloud.com,+499-639-6053,UK,Manchester,NYC,LHR,3451,Economy,2,421.81,843.63,Points,Success,1,Mobile App,0,90.148.167.31,2c0bf960446213d5,2,False,,True,104669,Gold,1270,0,False,CLEAN,0,0,LOW_RISK,1,-0.47132197965413086,NORMAL,12.07,LOW
BK010048,2025-01-25,2025-03-24 00:00:00,58,Passenger48 Legit612,passenger48.legit612407@gmail.com,+447-119-8532,UAE,Dubai,Orlando,Vegas,2028,Economy,3,261.06,783.18,Points,Success,1,Travel Agent,0,6.87.235.213,604d096d37d27353,2,False,,False,0,,678,0,False,CLEAN,0,0,LOW_RISK,1,-0.44088229041016014,NORMAL,8.05,LOW
BK010049,2024-11-11,2024-12-13 00:00:00,32,Passenger49 Legit510,passenger49.legit510348@yahoo.com,+342-897-3754,India,Bangalore,Orlando,Vegas,2028,Economy,1,257.76,257.76,Debit Card,Success,1,Mobile App,0,106.131.101.45,3053ba5a01544375,1,False,,False,0,,542,0,False,CLEAN,0,0,LOW_RISK,1,-0.40740326341561417,NORMAL,3.64,LOW
BK010050,2024-12-30,2025-02-23 00:00:00,55,Passenger50 Legit743,passenger50.legit743460@icloud.com,+659-750-6295,France,Marseille,Houston,Phoenix,1009,Business,2,374.84,749.68,Bank Transfer,Success,1,Call Center,2,51.158.236.116,2bc990057a09a734,1,False,,True,28670,Silver,1439,0,False,CLEAN,0,0,LOW_RISK,1,-0.4547955529075657,NORMAL,9.89,LOW
BK010051,2025-01-14,2025-02-25 00:00:00,42,Passenger51 Legit493,passenger51.legit493931@icloud.com,+668-292-6267,USA,Houston,Houston,Phoenix,1009,First Class,2,718.8,1437.6,Bank Transfer,Success,1,Mobile App,0,3.224.224.135,ad8f92b0c026445d,3,False,,False,0,,759,0,False,CLEAN,0,0,LOW_RISK,1,-0.4106902547507237,NORMAL,4.07,LOW
BK010052,2025-01-26,2025-03-12 00:00:00,45,Passenger52 Legit893,passenger52.legit89368@outlook.com,+97-671-7333,USA,Chicago,Atlanta,Seattle,2182,Business,3,877.52,2632.56,Points,Success,1,Airport Counter,2,3.179.158.248,dba18d8082e2975d,3,False,,True,27208,Silver,814,0,False,CLEAN,0,0,LOW_RISK,1,-0.45374821691541684,NORMAL,9.75,LOW
BK010053,2024-12-13,2025-02-10 00:00:00,59,Passenger53 Legit758,passenger53.legit758720@icloud.com,+96-761-7937,Canada,Montreal,Singapore,Bangkok,882,Business,1,320.31,320.31,Debit Card,Success,1,Mobile App,0,142.79.39.76,f1124ae81e5489f1,1,False,,False,0,,1692,0,False,CLEAN,0,0,LOW_RISK,1,-0.4767300743888538,NORMAL,12.78,LOW
BK010054,2024-12-14,2025-02-08 00:00:00,56,Passenger54 Legit138,passenger54.legit138612@hotmail.com,+158-266-3962,France,Paris,London,Paris,214,Premium Economy,4,35.17,140.69,PayPal,Success,1,Travel Agent,0,51.158.240.232,709dab45f799f50a,1,False,,False,0,,1082,0,False,CLEAN,0,0,LOW_RISK,1,-0.46465120870286614,NORMAL,11.19,LOW
BK010055,2024-12-19,2025-01-27 00:00:00,39,Passenger55 Legit388,passenger55.legit388990@yahoo.com,+837-304-3267,Germany,Munich,Singapore,Bangkok,882,Business,1,346.84,346.84,PayPal,Success,1,Call Center,0,46.139.230.232,dabc21cffb1dd3ad,1,False,,True,63205,Gold,1103,0,False,CLEAN,0,0,LOW_RISK,1,-0.4751729592347781,NORMAL,12.58,LOW
BK010056,2024-11-07,2024-12-09 00:00:00,32,Passenger56 Legit127,passenger56.legit127242@hotmail.com,+84-483-4678,Germany,Munich,Boston,SFO,2704,Economy,3,382.64,1147.93,PayPal,Success,1,Call Center,1,46.240.229.158,96130620b9deff27,1,True,244.0,False,0,,1303,0,False,CLEAN,0,0,LOW_RISK,1,-0.4099975260937316,NORMAL,3.98,LOW
BK010057,2024-12-25,2025-01-08 00:00:00,14,Passenger57 Legit723,passenger57.legit723309@gmail.com,+49-344-7878,India,Mumbai,Orlando,Vegas,2028,First Class,1,1135.59,1135.59,Bank Transfer,Success,1,Airport Counter,0,106.149.219.1,92b448cbdeee74a6,2,False,,False,0,,1540,0,False,CLEAN,0,0,LOW_RISK,1,-0.4401690438663863,NORMAL,7.96,LOW
BK010058,2024-11-09,2024-12-19 00:00:00,40,Passenger58 Legit636,passenger58.legit636806@icloud.com,+568-120-7397,Germany,Frankfurt,Atlanta,Seattle,2182,First Class,1,1427.95,1427.95,PayPal,Success,1,Call Center,0,46.170.68.12,d92e10f486d0b7f6,3,False,,False,0,,1775,0,False,CLEAN,0,0,LOW_RISK,1,-0.46347257199425523,NORMAL,11.03,LOW
BK010059,2025-01-20,2025-02-07 00:00:00,18,Passenger59 Legit812,passenger59.legit812734@hotmail.com,+38-400-4302,Canada,Toronto,Houston,Phoenix,1009,Economy,2,141.15,282.29,PayPal,Success,1,Airport Counter,1,147.18.97.74,4378a70e52907228,1,False,,False,0,,434,0,False,CLEAN,0,0,LOW_RISK,1,-0.40174309829696,NORMAL,2.89,LOW
BK010060,2024-12-22,2025-02-14 00:00:00,54,Passenger60 Legit547,passenger60.legit547348@yahoo.com,+509-808-9151,Japan,Osaka,Tokyo,Seoul,735,Business,3,301.74,905.21,Bank Transfer,Success,1,Call Center,1,126.40.167.170,1cb91b22be1aed19,2,False,,False,0,,521,0,False,CLEAN,0,0,LOW_RISK,1,-0.414231993618819,NORMAL,4.54,LOW
BK010061,2024-11-06,2024-12-29 00:00:00,53,Passenger61 Legit459,passenger61.legit459282@gmail.com,+77-787-7655,UAE,Abu Dhabi,Houston,Phoenix,1009,Business,2,430.74,861.49,Debit Card,Success,1,Website,0,6.185.196.244,1cf57d116761b99e,1,False,,False,0,,939,0,False,CLEAN,0,0,LOW_RISK,1,-0.4094822331925182,NORMAL,3.91,LOW
BK010062,2025-01-13,2025-01-28 00:00:00,15,Passenger62 Legit881,passenger62.legit881408@outlook.com,+666-385-5089,Germany,Munich,NYC,LHR,3451,Economy,1,464.11,464.11,Bank Transfer,Success,1,Call Center,2,46.109.146.178,812b4f288dafedc3,2,False,,True,24412,Bronze,1105,0,False,CLEAN,0,0,LOW_RISK,1,-0.43211135309942117,NORMAL,6.9,LOW
BK010063,2024-11-12,2025-01-09 00:00:00,58,Passenger63 Legit830,passenger63.legit830727@gmail.com,+564-655-5757,UAE,Abu Dhabi,Houston,Phoenix,1009,Business,2,404.48,808.97,Debit Card,Success,1,Website,0,5.121.252.7,0165e5e3ed9dd69f,3,False,,False,0,,1309,0,False,CLEAN,0,0,LOW_RISK,1,-0.43964869734443207,NORMAL,7.89,LOW
BK010064,2024-12-10,2024-12-10 17:00:00,0,Passenger64 Fraud188,passenger64.fraud188844@icloud.com,+76-228-6194,Germany,Munich,NYC,LHR,3451,Economy,2,436.98,873.97,Debit Card,Success,1,Website,2,142.165.115.89,2198ad02a46214ff,2,False,,False,0,,17,15,True,CLEAN,0,0,LOW_RISK,1,-0.4323331133517769,NORMAL,6.93,LOW
BK010065,2025-01-18,2025-02-28 00:00:00,41,Passenger65 Legit740,passenger65.legit740657@yahoo.com,+607-694-3526,UK,Birmingham,Dallas,Denver,641,Premium Economy,3,133.01,399.02,Points,Success,1,Airport Counter,1,80.213.15.128,d269095ac72d1759,3,False,,False,0,,798,0,False,CLEAN,0,0,LOW_RISK,1,-0.40292923594079183,NORMAL,3.05,LOW
BK010066,2025-01-27,2025-02-28 00:00:00,32,Passenger66 Legit924,passenger66.legit92475@gmail.com,+162-550-7809,India,Delhi,Singapore,Bangkok,882,First Class,4,508.67,2034.68,Points,Success,1,Travel Agent,0,125.54.163.62,66c05deab9e8f9cf,1,False,,True,30378,Silver,283,0,False,CLEAN,0,0,LOW_RISK,1,-0.5053983214522,NORMAL,16.57,LOW
BK010067,2025-01-18,2025-02-20 00:00:00,33,Passenger67 Legit493,passenger67.legit493834@outlook.com,+957-691-6123,Australia,Sydney,Sydney,Melbourne,442,Premium Economy,2,83.5,166.99,Points,Success,1,Website,0,2.234.123.56,b6e068c93d3781b4,2,True,312.0,False,0,,1519,0,False,CLEAN,0,0,LOW_RISK,1,-0.41078306360984146,NORMAL,4.08,LOW
BK010068,2024-11-02,2024-11-15 00:00:00,13,Passenger68 Legit392,passenger68.legit392904@outlook.com,+745-474-7606,Singapore,Singapore,Orlando,Vegas,2028,Business,1,744.81,744.81,Points,Success,1,Website,1,103.143.60.33,427f655193acb848,1,False,,False,0,,874,0,False,CLEAN,0,0,LOW_RISK,1,-0.4099415244692356,NORMAL,3.97,LOW
